species,source,classification
eastern_bluebird,all_about_birds,Grasslands
eastern_bluebird,vgbi,facultative grassland
eastern_bluebird,vickery_1999_facultative,facultative grassland
eastern_kingbird,all_about_birds,Grasslands
eastern_kingbird,vgbi,facultative grassland
eastern_kingbird,vickery_1999_facultative,facultative grassland
eastern_meadowlark,all_about_birds,Grasslands
eastern_meadowlark,vickery_1999_obligate,grassland obligate
eastern_phoebe,all_about_birds,Open Woodlands
eastern_phoebe,vgbi,facultative grassland
eastern_screech_owl,all_about_birds,Forests
eastern_towhee,all_about_birds,Scrub
eastern_towhee,peterjohn_2006,shrubland
eastern_towhee,vgbi,facultative grassland
eastern_whip_poor_will,all_about_birds,Open Woodlands
eastern_wood_pewee,all_about_birds,Forests
eastern_yellow_wagtail,all_about_birds,Tundra
elegant_quail,vickery_1999_facultative,facultative grassland
elegant_trogon,all_about_birds,Forests
elf_owl,all_about_birds,Deserts
emperor_goose,vickery_1999_facultative,facultative grassland
eskimo_curlew,vickery_1999_obligate,grassland obligate
eurasian_collared_dove,all_about_birds,Towns
eurasian_tree_sparrow,all_about_birds,Towns
european_starling,all_about_birds,Towns
evening_grosbeak,all_about_birds,Forests
ferruginous_hawk,all_about_birds,Grasslands
ferruginous_hawk,vickery_1999_obligate,grassland obligate
field_sparrow,all_about_birds,Scrub
field_sparrow,peterjohn_2006,shrubland
field_sparrow,vgbi,facultative grassland
fish_crow,all_about_birds,Shorelines
florida_scrub_jay,all_about_birds,Scrub
fork_tailed_flycatcher,vickery_1999_facultative,facultative grassland
forsters_tern,all_about_birds,Marshes
fox_sparrow,all_about_birds,Forests
fox_sparrow,vgbi,facultative grassland
franklins_gull,all_about_birds,Lakes and Ponds
franklins_gull,vickery_1999_facultative,facultative grassland
fulvous_whistling_duck,all_about_birds,Marshes
gadwall,all_about_birds,Marshes
gadwall,vickery_1999_facultative,facultative grassland
gambels_quail,all_about_birds,Scrub
gila_woodpecker,all_about_birds,Deserts
gilded_flicker,all_about_birds,Deserts
glaucous_gull,all_about_birds,Shorelines
glaucous_winged_gull,all_about_birds,Shorelines
glossy_ibis,all_about_birds,Marshes
golden_cheeked_warbler,all_about_birds,Forests
golden_crowned_kinglet,all_about_birds,Forests
golden_crowned_sparrow,all_about_birds,Scrub
golden_eagle,all_about_birds,Grasslands
golden_fronted_woodpecker,all_about_birds,Open Woodlands
golden_winged_warbler,all_about_birds,Open Woodlands
golden_winged_warbler,peterjohn_2006,shrubland
graces_warbler,all_about_birds,Forests
grasshopper_sparrow,all_about_birds,Grasslands
grasshopper_sparrow,vickery_1999_obligate,grassland obligate
grassland_yellow_finch,vickery_1999_obligate,grassland obligate
gray_catbird,all_about_birds,Open Woodlands
gray_catbird,peterjohn_2006,shrubland
gray_cheeked_thrush,all_about_birds,Forests
gray_crowned_rosy_finch,vickery_1999_facultative,facultative grassland
gray_flycatcher,all_about_birds,Open Woodlands
gray_hawk,all_about_birds,Forests
gray_kingbird,all_about_birds,Open Woodlands
gray_partridge,all_about_birds,Grasslands
gray_partridge,vickery_1999_facultative,facultative grassland
gray_vireo,all_about_birds,Scrub
great_black_backed_gull,all_about_birds,Shorelines
great_crested_flycatcher,all_about_birds,Open Woodlands
great_egret,all_about_birds,Marshes
great_gray_owl,all_about_birds,Forests
great_horned_owl,all_about_birds,Forests
great_kiskadee,all_about_birds,Open Woodlands
great_tailed_grackle,all_about_birds,Scrub
greater_pewee,all_about_birds,Open Woodlands
greater_prairie_chicken,all_about_birds,Grasslands
greater_prairie_chicken,vickery_1999_obligate,grassland obligate
greater_roadrunner,all_about_birds,Scrub
greater_sage_grouse,all_about_birds,Grasslands
greater_scaup,all_about_birds,Lakes and Ponds
greater_white_fronted_goose,all_about_birds,Lakes and Ponds
greater_white_fronted_goose,vickery_1999_facultative,facultative grassland
greater_yellowlegs,all_about_birds,Marshes
green_heron,all_about_birds,Marshes
green_jay,all_about_birds,Open Woodlands
green_kingfisher,all_about_birds,Rivers and Streams
green_tailed_towhee,all_about_birds,Scrub
green_winged_teal,all_about_birds,Marshes
green_winged_teal,vickery_1999_facultative,facultative grassland
groove_billed_ani,all_about_birds,Scrub
gull_billed_tern,all_about_birds,Shorelines
