species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
cabaniss_ground_sparrow,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
cabaniss_wren,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
california_gull,Lakes and Ponds,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,NA,facultative,TRUE
canada_goose,Marshes,NA,woodland; shrub; grasslands; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
canebrake_wren,NA,NA,shrub,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
canyon_towhee,Scrub,NA,shrub; artificial; riparian,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative grassland,facultative,TRUE
caribbean_elaenia,NA,NA,forest; woodland; shrub; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
cassins_kingbird,Open Woodlands,NA,forest; woodland; shrub; savannah; grasslands; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
cassins_sparrow,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
cattle_egret,Grasslands,NA,NA,NA,NA,Wetlands:  Generalist; Open Country:  Developed/Disturbed; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,NA,facultative grassland,facultative,TRUE
cattle_tyrant,NA,NA,shrub; savannah; grasslands; artificial; coastal,NA,NA,Open Country:  Developed/Disturbed; Grasslands:  Tropical,NA,NA,NA,NA,NA,facultative,TRUE
cave_swallow,Grasslands,NA,rocky_areas; artificial; riparian; wetlands_lakes_marsh,NA,NA,Aridlands Aerial:  Desert Scrub; Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
chestnut_collared_longspur,Grasslands,NA,grasslands,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
chihuahuan_raven,Scrub,NA,shrub; grasslands; desert; artificial,NA,NA,Grasslands:  Chihuahuan; Aridlands:  Desert Scrub; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative grassland,facultative,TRUE
chimney_swift,Towns,NA,forest; shrub; artificial; riparian; coastal,NA,NA,Open Country Aerial:  Developed/Disturbed; Open Country Aerial:  Habitat Mosaic; Forest Aerial:  Tropical Lowland Evergreen,NA,NA,NA,facultative grassland,NA,facultative,TRUE
chipping_sparrow,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial,NA,NA,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,NA,facultative,TRUE
chuck_wills_widow,Open Woodlands,NA,forest; woodland; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Eastern; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
cinnamon_rumped_seedeater,NA,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
clay_colored_sparrow,Scrub,NA,forest; woodland; shrub; grasslands; riparian; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Open Country:  Habitat Mosaic; Grasslands:  Chihuahuan,NA,NA,NA,NA,facultative grassland,facultative,TRUE
clay_colored_thrush,NA,NA,forest; woodland; shrub; grasslands; plains; artificial,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
cliff_swallow,Lakes and Ponds,NA,grasslands; rocky_areas; artificial,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
common_grackle,Open Woodlands,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
common_ground_dove,Scrub,NA,woodland; shrub; savannah; artificial,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,facultative grassland,facultative,TRUE
common_myna,NA,NA,shrub; grasslands; desert; artificial; riparian; coastal,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
common_nighthawk,Grasslands,NA,forest; woodland; shrub; grasslands; rocky_areas; artificial; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
common_poorwill,Scrub,NA,forest; woodland; shrub; grasslands; plains; desert,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Sagebrush,NA,NA,NA,NA,facultative grassland,facultative,TRUE
common_raven,Forests,NA,forest; woodland; shrub; plains; rocky_areas; desert; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
common_redpoll,Open Woodlands,NA,NA,NA,NA,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
common_snipe,NA,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,NA,facultative grassland,facultative,TRUE
