species,species_group,article_classified,birdbase,birds_of_the_world,eubirds,hand_entered,partners_in_flight,peterjohn_2006,vickery_1999,analysis_class,include
american_goldfinch,species,NA,forest; woodland; shrub; artificial,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,facultative,TRUE
american_goshawk,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
american_grey_flycatcher,species,NA,shrub; desert,NA,NA,NA,NA,NA,NA,shrub,FALSE
american_kestrel,species,NA,forest; woodland; shrub; grasslands; artificial,NA,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,facultative,facultative,TRUE
american_oystercatcher,species,NA,coastal,NA,NA,NA,Coasts:  Beach and Estuary,NA,NA,other,TRUE
american_pipit,species,NA,NA,NA,NA,NA,Tundra:  Alpine; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,obligate,obligate,TRUE
american_pygmy_kingfisher,species,NA,forest; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Forested; Forests:  Tropical Lowland Evergreen,NA,NA,forest,FALSE
american_redstart,species,NA,woodland; shrub; coastal,NA,NA,NA,Forests:  Temperate Generalist; Forests:  Tropical Generalist; Coasts:  Mangroves,NA,NA,shrub,FALSE
american_robin,species,NA,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,Forests:  Temperate Generalist,NA,NA,facultative,TRUE
american_three_toed_woodpecker,species,NA,forest,NA,NA,NA,Forests:  Boreal; Forests:  Temperate Western,NA,NA,forest,FALSE
american_tree_sparrow,species,NA,woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,facultative,TRUE
american_treecreeper,species,NA,forest; woodland; shrub; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
american_white_pelican,species,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Lakes and Rivers; Coasts:  Saltmarsh,NA,NA,other,TRUE
american_wigeon,species,NA,woodland; grasslands; coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,facultative,facultative,TRUE
american_woodcock,species,NA,forest; woodland; shrub; artificial,NA,NA,NA,Forests:  Temperate Eastern; Forests:  Boreal,NA,NA,shrub,FALSE
american_yellow_warbler,species,NA,forest; shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
amethyst_brown_dove,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amethyst_sunbird,species,NA,forest; woodland; shrub; savannah; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
amethyst_throated_mountain_gem,species,NA,forest,NA,NA,NA,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Pine-Oak,NA,NA,forest,FALSE
amethyst_throated_sunangel,species,NA,forest; woodland; shrub; grasslands; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
amethyst_woodstar,species,NA,forest; woodland; shrub; savannah,NA,NA,NA,NA,NA,NA,facultative,TRUE
ampay_tapaculo,species,NA,forest; woodland; shrub; rocky_areas,NA,NA,NA,NA,NA,NA,shrub,FALSE
amsterdam_albatross,species,NA,grasslands; pelagic,NA,NA,NA,NA,NA,NA,facultative,TRUE
amsterdam_duck,species,NA,grasslands; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
amur_falcon,species,NA,woodland; savannah; grasslands; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
amur_stonechat,species,NA,shrub; grasslands; plains,NA,NA,NA,NA,NA,NA,facultative,TRUE
anambra_waxbill,species,NA,forest; shrub; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
ancash_tapaculo,species,NA,grasslands; rocky_areas,NA,NA,NA,NA,NA,NA,facultative,TRUE
anchietas_barbet,species,NA,woodland; riparian,NA,NA,NA,NA,NA,NA,woodland,FALSE
anchietas_sunbird,species,NA,woodland; rocky_areas,NA,NA,NA,NA,NA,NA,woodland,FALSE
ancient_antwren,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
