species,source,classification,analysis
eastern_bluebird,hand_entered,facultative,1
eastern_bluebird,vgbi,facultative grassland,1
eastern_bluebird,vickery_1999_facultative,facultative grassland,1
eastern_kingbird,all_about_birds,Grasslands,1
eastern_kingbird,partners_in_flight,Open Country: Habitat Mosaic,1
eastern_kingbird,hand_entered,facultative,1
eastern_kingbird,vgbi,facultative grassland,1
eastern_kingbird,vickery_1999_facultative,facultative grassland,1
eastern_meadowlark,all_about_birds,Grasslands,1
eastern_meadowlark,hand_entered,obligate,1
eastern_meadowlark,vickery_1999_obligate,grassland obligate,1
eastern_phoebe,all_about_birds,Open Woodlands,1
eastern_phoebe,partners_in_flight,Open Country: Habitat Mosaic,1
eastern_phoebe,hand_entered,facultative,1
eastern_phoebe,vgbi,facultative grassland,1
eastern_screech_owl,all_about_birds,Forests,1
eastern_towhee,all_about_birds,Scrub,1
eastern_towhee,peterjohn_2006,shrubland,1
eastern_towhee,hand_entered,facultative,1
eastern_towhee,vgbi,facultative grassland,1
eastern_whip_poor_will,all_about_birds,Open Woodlands,0
eastern_wood_pewee,all_about_birds,Forests,1
eastern_yellow_wagtail,all_about_birds,Tundra,0
eastern_yellow_wagtail,partners_in_flight,Open Country: Habitat Mosaic,0
eastern_yellow_wagtail,hand_entered,facultative,0
elegant_quail,partners_in_flight,Aridlands: Desert Scrub,0
elegant_quail,hand_entered,facultative,0
elegant_quail,vickery_1999_facultative,facultative grassland,0
elegant_trogon,all_about_birds,Forests,0
elf_owl,all_about_birds,Deserts,0
elf_owl,partners_in_flight,Aridlands: Desert Scrub,0
emperor_goose,hand_entered,facultative,0
emperor_goose,vickery_1999_facultative,facultative grassland,0
eskimo_curlew,hand_entered,obligate,0
eskimo_curlew,vickery_1999_obligate,grassland obligate,0
eurasian_collared_dove,all_about_birds,Towns,1
eurasian_collared_dove,partners_in_flight,Open Country: Developed/Disturbed,1
eurasian_skylark,partners_in_flight,Open Country: Developed/Disturbed,1
eurasian_tree_sparrow,all_about_birds,Towns,0
eurasian_tree_sparrow,partners_in_flight,Open Country: Developed/Disturbed,0
european_starling,all_about_birds,Towns,1
european_starling,partners_in_flight,Open Country: Developed/Disturbed,1
evening_grosbeak,all_about_birds,Forests,0
ferruginous_hawk,all_about_birds,Grasslands,1
ferruginous_hawk,partners_in_flight,Open Country: Habitat Mosaic,1
ferruginous_hawk,hand_entered,obligate,1
ferruginous_hawk,vickery_1999_obligate,grassland obligate,1
field_sparrow,all_about_birds,Scrub,1
field_sparrow,partners_in_flight,Open Country: Habitat Mosaic,1
field_sparrow,peterjohn_2006,shrubland,1
field_sparrow,hand_entered,facultative,1
field_sparrow,vgbi,facultative grassland,1
fish_crow,all_about_birds,Shorelines,0
fish_crow,partners_in_flight,Open Country: Habitat Mosaic,0
fish_crow,hand_entered,facultative,0
five_striped_sparrow,partners_in_flight,Aridlands: Desert Scrub,0
florida_scrub_jay,all_about_birds,Scrub,0
fork_tailed_flycatcher,hand_entered,facultative,0
fork_tailed_flycatcher,vickery_1999_facultative,facultative grassland,0
forsters_tern,all_about_birds,Marshes,0
fox_sparrow,all_about_birds,Forests,0
fox_sparrow,partners_in_flight,Aridlands: Chaparral,0
fox_sparrow,hand_entered,facultative,0
fox_sparrow,vgbi,facultative grassland,0
franklins_gull,all_about_birds,Lakes and Ponds,0
franklins_gull,hand_entered,facultative,0
franklins_gull,vickery_1999_facultative,facultative grassland,0
fulvous_whistling_duck,all_about_birds,Marshes,0
gadwall,all_about_birds,Marshes,0
gadwall,vickery_1999_facultative,facultative grassland,0
gambels_quail,all_about_birds,Scrub,1
gambels_quail,partners_in_flight,Aridlands: Desert Scrub,1
giant_cowbird,partners_in_flight,Open Country: Habitat Mosaic,0
giant_cowbird,hand_entered,facultative,0
gila_woodpecker,all_about_birds,Deserts,0
gila_woodpecker,partners_in_flight,Aridlands: Desert Scrub,0
gilded_flicker,all_about_birds,Deserts,0
