species,habitat
sandwich_tern,Coasts:  Beach and Estuary; Coasts:  Marine Waters
elegant_tern,Coasts:  Beach and Estuary; Coasts:  Marine Waters
black_skimmer,Coasts:  Beach and Estuary; Coasts:  Saltmarsh
sunbittern,Wetlands:  Forested; Forests:  Tropical Lowland Evergreen
white_tailed_tropicbird,Islands:  Oceanic; Oceans:  Pelagic
red_billed_tropicbird,Islands:  Oceanic; Oceans:  Pelagic; Coasts:  Marine Waters
red_tailed_tropicbird,Islands:  Oceanic; Oceans:  Pelagic
red_throated_loon,Wetlands:  Tundra; Wetlands:  Boreal; Coasts:  Marine Waters
arctic_loon,Wetlands:  Lakes and Rivers; Wetlands:  Tundra; Coasts:  Marine Waters
black_footed_albatross,Islands:  Oceanic; Oceans:  Pelagic
short_tailed_albatross,Islands:  Oceanic; Oceans:  Pelagic
wilsons_storm_petrel,Islands:  Oceanic; Oceans:  Pelagic
white_faced_storm_petrel,Islands:  Oceanic; Oceans:  Pelagic
fork_tailed_storm_petrel,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
leachs_storm_petrel,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
townsends_storm_petrel,Islands:  Oceanic; Coasts:  Marine Waters; Oceans:  Pelagic
ainleys_storm_petrel,Islands:  Oceanic; Coasts:  Marine Waters; Oceans:  Pelagic
ashy_storm_petrel,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
band_rumped_storm_petrel,Islands:  Oceanic; Oceans:  Pelagic
wedge_rumped_storm_petrel,Islands:  Oceanic; Oceans:  Pelagic
black_storm_petrel,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
least_storm_petrel,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
northern_fulmar,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
trindade_petrel,Islands:  Oceanic; Oceans:  Pelagic
murphys_petrel,Islands:  Oceanic; Oceans:  Pelagic
mottled_petrel,Islands:  Oceanic; Oceans:  Pelagic
bermuda_petrel,Islands:  Oceanic; Oceans:  Pelagic
black_capped_petrel,Islands:  Oceanic; Oceans:  Pelagic
juan_fernandez_petrel,Islands:  Oceanic; Oceans:  Pelagic
hawaiian_petrel,Islands:  Oceanic; Oceans:  Pelagic
feas_petrel,Islands:  Oceanic; Oceans:  Pelagic
cooks_petrel,Islands:  Oceanic; Oceans:  Pelagic
tahiti_petrel,Islands:  Oceanic; Oceans:  Pelagic
bulwers_petrel,Islands:  Oceanic; Oceans:  Pelagic
parkinsons_petrel,Islands:  Oceanic; Oceans:  Pelagic
corys_shearwater,Islands:  Oceanic; Oceans:  Pelagic
wedge_tailed_shearwater,Islands:  Oceanic; Oceans:  Pelagic
bullers_shearwater,Islands:  Oceanic; Oceans:  Pelagic
galapagos_shearwater,Islands:  Oceanic; Oceans:  Pelagic
manx_shearwater,Islands:  Oceanic; Oceans:  Pelagic
townsends_shearwater,Islands:  Oceanic; Coasts:  Marine Waters; Oceans:  Pelagic
black_vented_shearwater,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
audubons_shearwater,Islands:  Oceanic; Oceans:  Pelagic
jabiru,Wetlands:  Freshwater Marsh
wood_stork,Wetlands:  Forested; Wetlands:  Freshwater Marsh; Wetlands:  Generalist
magnificent_frigatebird,Coasts:  Mangroves; Coasts:  Marine Waters; Oceans:  Pelagic
great_frigatebird,Islands:  Oceanic; Oceans:  Pelagic
masked_booby,Islands:  Oceanic; Coasts:  Marine Waters; Oceans:  Pelagic
great_cormorant,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Rocky Intertidal
