species,primary_habitat,habitat
chestnut_winged_chachalaca,Shrub,forest; shrub; riparian; coastal
rufous_vented_chachalaca,Forest,forest; artificial; riparian
rufous_headed_chachalaca,Forest,forest; shrub; savannah; artificial; riparian; coastal; forest; woodland; riparian
rufous_bellied_chachalaca,Forest,forest; shrub; artificial; coastal
west_mexican_chachalaca,Forest,forest; woodland; shrub; artificial
chaco_chachalaca,Forest,forest; woodland; shrub; riparian
white_bellied_chachalaca,Forest,forest; shrub; coastal
speckled_chachalaca,Shrub,forest; woodland; shrub; artificial; riparian
east_brazilian_chachalaca,Forest,forest; shrub; coastal
scaled_chachalaca,Shrub,forest; shrub; grasslands; artificial
colombian_chachalaca,Forest,forest
little_chachalaca,Forest,forest; woodland; shrub; artificial; riparian
buff_browed_chachalaca,Shrub,forest; woodland; shrub
band_tailed_guan,Forest,forest; shrub; artificial
bearded_guan,Forest,forest
baudo_guan,Forest,forest
andean_guan,Forest,forest; shrub
marail_guan,Forest,forest; shrub; riparian
rusty_margined_guan,Forest,forest; woodland; shrub; riparian; coastal; wetlands_lakes_marsh
red_faced_guan,Forest,forest; bamboo; shrub
crested_guan,Forest,forest; shrub; artificial; riparian
cauca_guan,Forest,forest; shrub; artificial
white_winged_guan,Forest,forest; woodland; artificial; riparian; coastal
spixs_guan,Forest,forest; shrub; riparian
dusky_legged_guan,Forest,forest; woodland; shrub; grasslands; artificial; riparian
yungas_guan,Forest,forest; woodland
white_crested_guan,Forest,forest; shrub
chestnut_bellied_guan,Forest,forest; shrub; riparian; wetlands_lakes_marsh
white_browed_guan,Woodland,woodland; shrub; grasslands; artificial
trinidad_piping_guan,Forest,forest; shrub; artificial
blue_throated_piping_guan,Forest,forest; woodland; riparian; coastal
white_throated_piping_guan,Forest,forest; woodland
red_throated_piping_guan,Forest,forest; riparian
black_fronted_piping_guan,Forest,forest; shrub; riparian; coastal
wattled_guan,Forest,forest; shrub
black_guan,Forest,forest; shrub; rocky_areas
sickle_winged_guan,Forest,forest; woodland; shrub; artificial
highland_guan,Forest,forest; woodland; rocky_areas; artificial
horned_guan,Forest,forest
nocturnal_curassow,Forest,forest; riparian
crestless_curassow,Forest,forest; riparian
salvins_curassow,Forest,forest; riparian
razor_billed_curassow,Forest,forest; riparian
alagoas_curassow,Forest,forest
helmeted_curassow,Forest,forest
horned_curassow,Forest,forest; riparian
sira_curassow,Forest,forest
