es_id,key,paper,source_sheet,bmp,treatment,control,response_var,species,species_key,species_group,analysis_class,response_metric,response_scale,survival_scale,link,baseline_survival,beta_is_derived,notes,species_include,treatment_control_flag,response_flag,sign,conversion,effect_metric,xbar_e,xbar_c,yi,sei,n_total,label_type,guild,fire_excluded_original,non_grassland_class,in_primary_pool,excluded_by
md_0546,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (<1 year),More than 80 years since fire,number of singing males - 1993,bairds_sparrow,bairds_sparrow,species,obligate,abundance,count,,,,,At one point Amy asked to remove the year-of-burn ... should we? Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,42,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0551,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (<1 year),More than 80 years since fire,number of singing males - 1993,grasshopper_sparrow,grasshopper_sparrow,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,42,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0553,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (<1 year),More than 80 years since fire,number of singing males - 1993,spragues_pipit,spragues_pipit,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,42,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0554,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (<1 year),More than 80 years since fire,number of singing males - 1993,western_meadowlark,western_meadowlark,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,42,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0590,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (6 years),More than 80 years since fire,number of singing males - 1993,bairds_sparrow,bairds_sparrow,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,43,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0598,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (6 years),More than 80 years since fire,number of singing males - 1993,western_meadowlark,western_meadowlark,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,43,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0601,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (7 years),More than 80 years since fire,number of singing males - 1993,bairds_sparrow,bairds_sparrow,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,37,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0609,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (7 years),More than 80 years since fire,number of singing males - 1993,western_meadowlark,western_meadowlark,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,37,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0618,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (<1 year),More than 80 years since fire,number of singing males - 1994,lecontes_sparrow,lecontes_sparrow,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,50,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0654,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (7 years),More than 80 years since fire,number of singing males - 1994,lecontes_sparrow,lecontes_sparrow,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,36,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0657,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (7 years),More than 80 years since fire,number of singing males - 1994,western_meadowlark,western_meadowlark,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,36,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0665,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (8 years),More than 80 years since fire,number of singing males - 1994,grasshopper_sparrow,grasshopper_sparrow,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,39,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0666,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (8 years),More than 80 years since fire,number of singing males - 1994,lecontes_sparrow,lecontes_sparrow,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,39,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0668,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (8 years),More than 80 years since fire,number of singing males - 1994,spragues_pipit,spragues_pipit,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,39,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
md_0669,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (8 years),More than 80 years since fire,number of singing males - 1994,western_meadowlark,western_meadowlark,species,obligate,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,0,0,,,39,species,obligate_grassland,TRUE,FALSE,TRUE,conversion
tc_0035,WGS7B9Z6,Gardner et al. 2017,other_categorical,remove_non_native_species,Removal of invasive honeysuckle,No removal of invasive honeysuckle,abundance,all_species,all_species,aggregate,,abundance,count,,,,,usable -- comparison of two groups and thus converts to effect size without issue,TRUE,apples,0,1,test statistic,hedges_g,,,,,2,community,,FALSE,FALSE,TRUE,conversion
bc_0040,4G526MHA,Coon et al. 2022,beta_categorical,plant_nwsg,Herbicide spraying and seeding (native seed mix),Herbicide spraying only,Total nests per patch,dickcissel,dickcissel,species,obligate,abundance,count,,log,,TRUE,from supplemental table S4; B = B_treatment - B_control; SE = sqrt(SE_control^2 + se_treatment^2),TRUE,apples,0,1,regression coefficient,hedges_g,,,0.6060915267313264,0.6102859818083951,4,species,obligate_grassland,FALSE,FALSE,TRUE,duplicate_expression
bc_0043,4G526MHA,Coon et al. 2022,beta_categorical,eliminate_pesticides,Herbicide spraying only,No spraying or seeding fescue field,Total nests per patch,dickcissel,dickcissel,species,obligate,abundance,count,,log,,FALSE,from supplemental table S4,TRUE,apples,0,-1,regression coefficient,hedges_g,,,-0.940601057878124,0.661151953793588,4,species,obligate_grassland,FALSE,FALSE,TRUE,duplicate_expression
md_0338,IAAZA5MM,Denny et al. 2021,mean_diff,delay_hay,late hay,early hay,dsr,savannah_sparrow,savannah_sparrow,species,obligate,nest_success,count,daily_survival,,,,"Chose Philopatric, sample size is not provide by treatment, so this is assuming an even number of nests per treatment",TRUE,apples,0,1,log hazard ratio from arm survival,log_hazard_ratio,0.96,0.929,0.590056147599046,0.24048468707577456,70,species,obligate_grassland,FALSE,FALSE,TRUE,duplicate_expression
md_0340,IAAZA5MM,Denny et al. 2021,mean_diff,delay_hay,late hay,early hay,dsr,bobolink,bobolink,species,obligate,nest_success,count,daily_survival,,,,"Chose Philopatric, sample size is not provide by treatment, so this is assuming an even number of nests per treatment",TRUE,apples,0,1,log hazard ratio from arm survival,log_hazard_ratio,0.967,0.94,0.6118837110048623,0.2949376020867945,57,species,obligate_grassland,FALSE,FALSE,TRUE,duplicate_expression
md_1211,QX25INTP,Buckley et al. 2022,mean_diff,rotational_grazing,Rotational grazing,Pre-treatment,daily survival rate,red_winged_blackbird,red_winged_blackbird,species,facultative,nest_success,count,daily_survival,,,,Traced from plot,TRUE,apples,0,1,log hazard ratio from arm survival,log_hazard_ratio,0.9435,0.9775,-0.9383069388952668,0.8733248562792297,32,species,facultative_grassland,FALSE,FALSE,TRUE,duplicate_expression
md_1212,QX25INTP,Buckley et al. 2022,mean_diff,rotational_grazing,Rotational grazing,Pre-treatment,daily survival rate,field_sparrow,field_sparrow,species,facultative,nest_success,count,daily_survival,,,,Traced from plot,TRUE,apples,0,1,log hazard ratio from arm survival,log_hazard_ratio,0.9455,0.954,-0.1739957394891576,0.6575190812052184,97,species,facultative_grassland,FALSE,FALSE,TRUE,duplicate_expression
md_1213,QX25INTP,Buckley et al. 2022,mean_diff,rotational_grazing,Rotational grazing,Pre-treatment,daily survival rate,indigo_bunting,indigo_bunting,species,facultative,nest_success,count,daily_survival,,,,Traced from plot,TRUE,apples,0,1,log hazard ratio from arm survival,log_hazard_ratio,0.9327,0.9231,0.13845413446769994,0.35947787147365257,21,species,facultative_grassland,FALSE,FALSE,TRUE,duplicate_expression
md_1114,V8UPXK6I,Fleming and Giuliano 1998,mean_diff,edge_and_shrub_habitat,Border-edge cut,Uncut edge,DSR,all_species,all_species,aggregate,,nest_success,count,daily_survival,,,,Border-edge cuts are defined as transitional shrub zones ... the comparison is abrupt edge (see Table 2 and 3),TRUE,apples,0,1,log hazard ratio from arm survival,log_hazard_ratio,0.95,0.8,1.470255262282648,0.21272631250884275,60,community,,FALSE,FALSE,TRUE,duplicate_expression
md_1115,V8UPXK6I,Fleming and Giuliano 1998,mean_diff,edge_and_shrub_habitat,Border-edge cut,Uncut edge,Depredation rate,all_species,all_species,aggregate,,nest_success,count,period_survival,,,,Border-edge cuts are defined as transitional shrub zones ... the comparison is abrupt edge (see Table 2 and 3),TRUE,apples,0,-1,log hazard ratio from arm survival,log_hazard_ratio,0.47,0.4,-0.2174049966752384,0.5056829367726161,60,community,,FALSE,FALSE,TRUE,duplicate_expression
md_0922,VGVWR7ZM,Sandercock et al. 2015,mean_diff,prescribed_fire,Burned (Year of burn),Unburned,dsr,upland_sandpiper,upland_sandpiper,species,obligate,nest_success,count,daily_survival,logit,,,Might want to choose *either* dsr or nest survival,TRUE,apples,0,1,log hazard ratio from arm survival,log_hazard_ratio,0.9326,0.9495,-0.2975602683131173,0.16197642858885294,207,species,obligate_grassland,FALSE,FALSE,TRUE,duplicate_expression
md_0963,XRV7BSRZ,Sutter and Brigham 1998,mean_diff,plant_nwsg,Native vegetation fields,Introduced vegetation fields,species diversity,all_species,all_species,aggregate,,species_richness,diversity,,,,,,TRUE,apples,0,1,two group means,hedges_g,1.8,1.8,0,0.5712501579659007,10,community,,FALSE,FALSE,TRUE,duplicate_expression
md_0549,K2FW7NWY,Madden et al. 1999,mean_diff,prescribed_fire,Time since fire (<1 year),More than 80 years since fire,number of singing males - 1993,clay_colored_sparrow,clay_colored_sparrow,species,facultative,abundance,count,,,,,Sample size is number of point counts,TRUE,apples,0,1,two group means,hedges_g,33,0.57,72.78155904776304,7.949070194631831,42,species,facultative_grassland,FALSE,FALSE,TRUE,implausible_effect
bc_0002,47Y8JMQT,Assandri et al. 2017,beta_categorical,eliminate_pesticides,Organic vineyard,Conventional vineyard,Daily nest failure,all_species,all_species,aggregate,,nest_success,count,daily_survival,logit,,,,TRUE,apples,0,1,log hazard ratio from logit coefficient,log_hazard_ratio,,,,,104,community,,FALSE,FALSE,TRUE,nest_hazard_scale
bc_0102,57RFAGS5,Howell et al. 2021,beta_categorical,edge_and_shrub_habitat,High edge density,No edge,Proportion of eggs hatched for a given clutch size,northern_bobwhite,northern_bobwhite,species,facultative,nest_success,count,period_survival,identity,,,Proportion of eggs hatched for a given clutch size,TRUE,apples,0,1,log hazard ratio from identity coefficient,log_hazard_ratio,,,,,308,species,facultative_grassland,FALSE,FALSE,TRUE,nest_hazard_scale
bc_0049,KSACJCJN,Hovick and Miller 2016,beta_categorical,edge_and_shrub_habitat,Near (within 0.5 m^2 quadrat) woody cover,Not near (within 0.5 m^2 quadrat) woody cover,Nest survival,eastern_meadowlark,eastern_meadowlark,species,obligate,nest_success,count,period_survival,logit,,,,TRUE,apples,0,1,log hazard ratio from logit coefficient,log_hazard_ratio,,,,,95,species,obligate_grassland,FALSE,FALSE,TRUE,nest_hazard_scale
bc_0078,SDG3KUBT,Read et al. 2021,beta_categorical,eliminate_pesticides,Post-azinthos methyl ban,Pre-azinphos-methyl ban,fledging success,eastern_bluebird,eastern_bluebird,species,facultative,nest_success,count,period_survival,,,,I wonder if this is a fair comparison for eliminate pesticides? Nest survival of Eastern bluebirds in conventional orchards vs. non-orchard sites,TRUE,grapes,0,-1,regression coefficient,hedges_g,,,,,1662,species,facultative_grassland,FALSE,FALSE,TRUE,nest_hazard_scale
